Latitude,Longitude,Date_BP,SE,Date_1000,Chronoculture,Associated_lithics,Assoc_pottery?,Country,Site name
-3.33,15.124,3700,90,4000,LSA,1,0,ROC,Ntsimou
0.5333,9.35,6190,80,6000,LSA,1,0,Gabon,Nzogobeyok
3.8167,11.5,3265,165,3000,LSA,1,1,Cameroon,Obobogo
3.8167,11.5,6020,505,6000,LSA,1,1,Cameroon,Obobogo
0.4906,9.4125,5580,60,6000,LSA,1,0,Gabon,Okala 1
0.4906,9.4125,39690,670,40000,Stone Age,1,0,Gabon,Okala 1
-0.12,11.55,4500,50,5000,LSA,1,0,Gabon,Okanda 5
-4.2667,15.2333,7400,110,7000,LSA,1,0,ROC,Orstom
-0.587,11.533,2200,40,2000,LSA,1,0,Gabon,Oumoundo 4
-0.5,15.917,33800,800,34000,MSA,0,0,ROC,Owando
0.3333,9.4667,5040,130,5000,LSA,1,0,Gabon,Owendo
-1.117,15.95,31000,2200,31000,MSA,0,0,ROC,Oyo
-1.7,13.63,3250,80,3000,LSA,0,0,Gabon,Plateau de Mpassa
-4.2833,15.2667,4580,110,5000,LSA,1,0,ROC,Pointe Bacongo
-4.75,11.85,3860,130,4000,LSA,1,0,ROC,Pointe Noire
-4.75,11.85,4920,140,5000,LSA,1,0,ROC,Pointe Noire
0.1,9.7,18020,80,18000,LSA,0,0,Gabon,Remboué 1
0.32,9.35,4810,80,5000,LSA,1,1,Gabon,Riviere Denis 1
0.5,9.3833,4400,70,4000,LSA,1,1,Gabon,Sablieres
0.5,9.3833,4870,90,5000,LSA,1,1,Gabon,Sablieres
0.5,9.3833,7500,90,8000,LSA,1,0,Gabon,Sablieres
0.5,9.3833,34600,1500,35000,Stone Age,1,0,Gabon,Sablieres
-5.167,14.008,3510,55,4000,LSA,1,1,DRC,Sakuzi
5.85,10.0667,6070,340,6000,LSA,1,1,Cameroon,Shum Laka
5.85,10.0667,6870,80,7000,LSA,1,1,Cameroon,Shum Laka
5.85,10.0667,7790,80,8000,LSA,1,0,Cameroon,Shum Laka
5.85,10.0667,9880,100,10000,LSA,1,0,Cameroon,Shum Laka
5.85,10.0667,12800,110,13000,LSA,1,0,Cameroon,Shum Laka
5.85,10.0667,18040,100,18000,LSA,1,0,Cameroon,Shum Laka
5.85,10.0667,20260,180,20000,LSA,1,0,Cameroon,Shum Laka
5.85,10.0667,30300,1600,30000,LSA,1,0,Cameroon,Shum Laka
5.85,10.0667,31700,750,32000,LSA,1,0,Cameroon,Shum Laka
5.859,10.078,2940,60,3000,LSA,1,1,Cameroon,Shum Laka
2.118,28.573,6025,70,6000,LSA,1,0,DRC,Wataka G.E
