Reference,Latitude,Longitude,Date_BP,SE,Chronoculture,Associated_lithics,Country,Site name,Associated.publications,NOTES
Gif-9391,-0.484,12.451,3900,70,LSA,1,Gabon,Grotte Paouan,Clist 2004/2005: Annex 2,
Gif-9391,-0.4842,12.4515,3900,70,LSA,1,Gabon,Grotte Paouan 1,Assoko Ndong 2001: 492 Tab. 69; Garcin et al. 2018,
Gif-9392,-0.4842,12.4515,5570,70,LSA,1,Gabon,Grotte Paouan 1,Assoko Ndong 2001: 492 Tab. 69; Garcin et al. 2018,
Gif-5437,-4.7,11.95,19900,700,Lupemban,1,ROC,Hinda,"de Maret, 1985a",
b-74285,-1.92,9.32,6300,60,LSA,1,Gabon,Iguela ,"Clist, 1995","Mercader and Mart’, 2003"
Beta-74286,-1.9167,9.3167,3680,60,LSA,1,Gabon,Iguela 2,"Clist, 1995",
Beta-18729,-1.5,9.499,2550,120,LSA,1,Gabon,Ikengue 1,Clist 1989; Clist 2004/2005: Annex 2,
Beta-18728,-1.5,9.4986,3850,90,LSA,1,Gabon,Ikengue 1,"Clist, 1995",
Beta-18731,-1.5,9.4986,4830,290,LSA,1,Gabon,Ikengue 1,"Clist, 1995",
b-18734,-1.5,9.4986,5160,100,LSA,1,Gabon,Ikengue 1,"Locko, 1988","Mercader and Mart’, 2003"
Hv-11576,-0.822,19.788,2900,2900,LSA,1,DRC,Imbonga,Eggert 1984: 262 Fig. 5; Eggert 1987: 133 Tab. 1; Wotzka 1995: 66-67; Seidensticker 2017: Tab. 21; Bleasdale et al. 2020: Suppl. Tab. 1,
Hv-12614,-0.822,19.788,2665,110,LSA,1,DRC,Imbonga,Eggert 1984: 262 Fig. 5; Eggert 1987: 133 Tab. 1; Wotzka 1995: 99; Seidensticker 2017: Tab. 21; Bleasdale et al. 2020: Suppl. Tab. 1,
Hv-12207,-0.822,19.788,2860,2860,LSA,1,DRC,Imbonga,Wotzka 1995: 349; Seidensticker 2017: Tab. 21; Bleasdale et al. 2020: Suppl. Tab. 1,
AA-33225,2.118,28.573,10015,55,LSA,1,DRC,Isak Baite SW,Mercader et al. 2000,"Mercader and Mart’, 2003"
Si-7065,-0.4,29.3,19870,240,LSA,1,DRC,Ishango 11,de Maret et al. 1977: 491; van Noten 1982,
Si-7062,-0.4,29.3,20155,245,LSA,1,DRC,Ishango 11,de Maret et al. 1977: 491; van Noten 1982,
W-283,-0.4,29.3,21000,500,LSA,1,DRC,Ishango 11,de Maret et al. 1977: 491; van Noten 1982,
Si-7064,-0.4,29.3,23760,385,LSA,1,DRC,Ishango 11,de Maret et al. 1977: 491; van Noten 1982,
Gif-2225,-10.24,25.09,3840,140,LSA,1,DRC,Kamoa,de Maret et al. 1977: 491; van Noten 1982,
Hv-4215,10,25.49,4235,100,LSA,1,DRC,Kamoa,de Maret et al. 1977: 491; van Noten 1982,
GrN-6287,-10,25.49,6025,70,Stone Age,1,DRC,Kamoa,de Maret et al. 1977: 491; van Noten 1982,
Lv-164,-4.2038,15.1245,9730,200,LSA,1,DRC,Kinhasa Plain,de Maret et al. 1977: 491; van Noten 1982,
Lv-288,-4.2038,15.1245,3870,90,LSA,1,DRC,Kinsuka,de Maret et al. 1977: 491; van Noten 1982,
Lv-289,-4.4142,15.3308,6280,130,LSA,1,DRC,Kizenzu,de Maret et al. 1977: 491; van Noten 1982,
Hv-6254,-5.77,14.8,2985,95,LSA,1,DRC,Kwimba,"Lanfranchi, 1990",
